feature,mean_absolute_shap
Motor_current_roll_std_60min,14.576353476991194
Motor_current_roll_min_60min,7.638772490896558
H1_roll_mean_60min,7.469848510174337
H1_roll_std_60min,7.239103973968096
TP2_roll_std_60min,5.946291459196578
TP2_roll_mean_60min,5.909609439194567
Motor_current_roll_mean_60min,5.193528062627637
Reservoirs_roll_std_60min,4.1332201252559635
Motor_current_roll_min_15min,3.3154633582966544
TP3_roll_std_60min,2.858459969857569
Oil_temperature_roll_mean_15min,2.7333498715058875
Oil_temperature_roll_mean_60min,2.4504699800837355
H1_roll_mean_15min,2.446111864625931
Motor_current_roll_max_60min,2.31539725586297
Oil_temperature_roll_std_60min,2.2938382453130486
TP3_roll_min_60min,2.2349150481464934
DV_pressure_roll_std_60min,2.1079080647048287
LPS,2.088328598374764
Unnamed__0,1.83327306966615
H1_roll_std_15min,1.7941304088126464
Reservoirs_roll_max_60min,1.7797142038703626
Oil_temperature_roll_min_15min,1.71523399968148
Reservoirs_roll_min_15min,1.6954794246063118
Oil_temperature_roll_max_15min,1.6149636145244757
Reservoirs_roll_mean_60min,1.556257455685493
TP3_roll_min_15min,1.4203040974955468
DV_pressure_roll_max_60min,1.3982226809505505
H1_roll_min_60min,1.3386313099163722
TP2_roll_max_60min,1.2780640773644927
TP3_roll_max_60min,1.2380428319137597
TP2_roll_mean_15min,1.2166975944296945
Oil_temperature,1.1960016565405822
H1_roll_max_60min,1.0114085070887342
Oil_temperature_roll_max_60min,0.9847240685423941
TP3_lag_15min,0.8987317204980643
TP3_roll_mean_60min,0.8956072352272075
Reservoirs_roll_min_60min,0.8613854182143919
Oil_temperature_rate_change_5min,0.8359834133421649
Reservoirs_lag_15min,0.7595152687903892
TP2_roll_max_15min,0.7291767251737322
Oil_temperature_lag_5min,0.6781597837901345
Oil_level,0.6773322325872649
Motor_current_roll_std_15min,0.6730351027570485
Caudal_impulses_roll_min_60min,0.6340466443911354
H1_roll_max_15min,0.6028452280128553
Reservoirs_roll_max_15min,0.5856355960492526
TP3_lag_60min,0.5723747140163943
Caudal_impulses_roll_mean_60min,0.47169241632217945
TP3_roll_mean_15min,0.46773428203685374
TP3_rate_change_5min,0.4653067440114535
Oil_temperature_lag_15min,0.44606885434081933
TP3_lag_5min,0.434278626942791
Caudal_impulses_roll_mean_15min,0.41835647643551643
Oil_temperature_lag_60min,0.414617341500021
Caudal_impulses_roll_min_15min,0.39823345312836694
Motor_current_roll_mean_15min,0.3708029376037985
Reservoirs_lag_5min,0.32915495736850703
Reservoirs_roll_std_15min,0.32222843692584996
DV_pressure_roll_std_15min,0.3168361253227008
TP2_lag_15min,0.3160851783411526
TP2_lag_60min,0.3085741287625963
Reservoirs_rate_change_5min,0.29842674591077734
H1,0.2853173693168696
H1_roll_min_15min,0.2802895661113524
Oil_temperature_roll_min_60min,0.27295793719984335
TP2_roll_min_15min,0.24747554006534137
DV_pressure_roll_max_15min,0.2177219399776223
TP2_roll_std_15min,0.20804097153345752
TP3_roll_max_15min,0.19840628195346435
TP3_Reservoirs_diff,0.19202022613559508
H1_lag_60min,0.1917429698361209
COMP,0.17305530186177573
TP2_roll_min_60min,0.16738218909103103
TP2_lag_5min,0.16701343598479607
Oil_temperature_roll_std_15min,0.16163912749988976
DV_pressure_roll_min_60min,0.15898708756718713
Motor_current_roll_max_15min,0.14753360847677666
DV_pressure_roll_mean_15min,0.1464991948079269
Reservoirs_roll_mean_15min,0.14319283634732438
H1_rate_change_5min,0.13259835207242293
Caudal_impulses,0.13142325341297864
H1_lag_5min,0.11591637306286914
Caudal_impulses_roll_std_60min,0.11491201596412803
TP2,0.11164324029180417
TP2_TP3_diff,0.10540112459202185
Caudal_impulses_lag_5min,0.09327152308420264
TP3_roll_std_15min,0.09005489864812512
Caudal_impulses_roll_max_60min,0.08511308256852139
Caudal_impulses_roll_max_15min,0.08443867300990321
H1_lag_15min,0.07604028708177052
Motor_current_lag_60min,0.07192629068877952
Motor_current_rate_change_5min,0.06493889490263195
DV_eletric,0.06389387996215196
Motor_current_lag_5min,0.0566865280843283
TP2_rate_change_5min,0.030995088696488815
Reservoirs,0.029354160478805628
TP3,0.02842985902204243
Reservoirs_DV_pressure_diff,0.026560512446353934
Pressure_switch,0.02321588910762265
Reservoirs_lag_60min,0.020563610301974667
Motor_current,0.019397056177063568
DV_pressure_roll_mean_60min,0.019368795846283673
Motor_current_lag_15min,0.01656064137526903
Caudal_impulses_lag_60min,0.013056489443973801
Caudal_impulses_lag_15min,0.011550348497466058
DV_pressure_roll_min_15min,0.009851143014204668
Caudal_impulses_rate_change_5min,0.009743516254498052
Towers,0.008553537090184199
DV_pressure_rate_change_5min,0.004825099975698986
Caudal_impulses_roll_std_15min,0.002565697369117449
DV_pressure_lag_15min,0.002528493392996238
DV_pressure_lag_60min,0.0015175035224974864
DV_pressure,0.0006181154192498597
MPG,0.0005686279108130953
DV_pressure_lag_5min,0.0001692696502037826
