case_type,timestamp,y_true,prediction,risk_score,rank,feature,shap_value,absolute_shap_value
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,1,Motor_current_roll_std_60min,17.301274745213515,17.301274745213515
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,2,H1_roll_mean_60min,9.198856854514336,9.198856854514336
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,3,Motor_current_roll_mean_60min,7.483964083372258,7.483964083372258
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,4,TP2_roll_mean_60min,6.906506340064982,6.906506340064982
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,5,Motor_current_roll_min_60min,6.858876398293802,6.858876398293802
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,6,Unnamed__0,4.627583725050186,4.627583725050186
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,7,Oil_temperature_roll_mean_60min,-3.8153044570270866,3.8153044570270866
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,8,Oil_temperature_roll_mean_15min,3.690161295949305,3.690161295949305
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,9,Motor_current_roll_min_15min,3.2992693363828276,3.2992693363828276
false_positive,2020-08-30 05:02:11,0,1,0.9999999902311624,10,H1_roll_std_60min,-3.1239388429297446,3.1239388429297446
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,1,TP2_roll_mean_60min,-19.44346420720365,19.44346420720365
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,2,H1_roll_mean_60min,-18.454755226469718,18.454755226469718
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,3,Motor_current_roll_std_60min,-11.029243858673837,11.029243858673837
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,4,Motor_current_roll_mean_60min,-8.79596475428838,8.79596475428838
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,5,Motor_current_roll_min_60min,-7.939724584084057,7.939724584084057
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,6,TP2_roll_std_60min,6.802960585665854,6.802960585665854
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,7,Oil_temperature_roll_mean_15min,-5.839488261155935,5.839488261155935
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,8,H1_roll_std_60min,5.476215245856472,5.476215245856472
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,9,Oil_temperature_roll_mean_60min,4.959205601000639,4.959205601000639
false_negative,2020-07-15 14:27:22,1,0,1.5033324895611168e-44,10,H1_roll_mean_15min,-4.469188831710001,4.469188831710001
