feature,importance,absolute_importance
TP3_roll_max_60min,0.10979288,0.10979288
Motor_current_roll_max_60min,0.09619385,0.09619385
Unnamed__0,0.09022861,0.09022861
TP2_roll_min_60min,0.073484376,0.073484376
Reservoirs_roll_max_60min,0.07245364,0.07245364
H1_roll_max_60min,0.06530841,0.06530841
Motor_current_roll_mean_60min,0.044796225,0.044796225
Oil_temperature_roll_min_60min,0.044292517,0.044292517
TP2_roll_max_15min,0.03843463,0.03843463
H1_roll_mean_60min,0.037738267,0.037738267
Motor_current_roll_std_60min,0.03473915,0.03473915
Reservoirs_roll_min_60min,0.032676235,0.032676235
TP2_roll_max_60min,0.031860646,0.031860646
DV_pressure_roll_max_60min,0.03088905,0.03088905
DV_pressure_roll_min_60min,0.029972395,0.029972395
TP2_roll_min_15min,0.027327672,0.027327672
Oil_temperature_roll_max_60min,0.026100986,0.026100986
TP3_roll_min_60min,0.02025045,0.02025045
Oil_temperature_roll_mean_60min,0.013181141,0.013181141
TP2_roll_mean_15min,0.010845105,0.010845105
DV_pressure_roll_mean_60min,0.009834537,0.009834537
DV_pressure_roll_min_15min,0.008538868,0.008538868
TP2_roll_mean_60min,0.00812538,0.00812538
Motor_current_roll_min_60min,0.0076083457,0.0076083457
DV_pressure_roll_std_60min,0.007273694,0.007273694
TP3_roll_max_15min,0.0060494156,0.0060494156
Reservoirs_roll_max_15min,0.00507047,0.00507047
TP3_roll_mean_60min,0.0028722247,0.0028722247
Reservoirs_roll_mean_60min,0.0024237353,0.0024237353
DV_pressure_roll_mean_15min,0.002259459,0.002259459
H1_roll_mean_15min,0.0021071935,0.0021071935
Reservoirs_DV_pressure_diff,0.0020205928,0.0020205928
Oil_temperature_lag_60min,0.0011832387,0.0011832387
TP3_roll_std_60min,0.0011109549,0.0011109549
Caudal_impulses_roll_std_60min,0.0004631272,0.0004631272
Motor_current_roll_min_15min,0.00033993422,0.00033993422
TP2_roll_std_15min,0.00031319674,0.00031319674
H1_roll_min_15min,0.00027052665,0.00027052665
Caudal_impulses_roll_std_15min,0.00026998366,0.00026998366
Caudal_impulses_roll_mean_60min,0.00020554908,0.00020554908
Caudal_impulses_lag_5min,0.00017836744,0.00017836744
Oil_temperature_roll_std_60min,0.00016210384,0.00016210384
Caudal_impulses_roll_mean_15min,0.00014925157,0.00014925157
Caudal_impulses_rate_change_5min,0.00011974004,0.00011974004
Oil_temperature,8.0687125e-05,8.0687125e-05
COMP,7.845763e-05,7.845763e-05
DV_pressure_roll_std_15min,7.183293e-05,7.183293e-05
TP3_rate_change_5min,7.097841e-05,7.097841e-05
DV_pressure_lag_5min,7.0326714e-05,7.0326714e-05
Oil_temperature_roll_min_15min,5.4031112e-05,5.4031112e-05
Caudal_impulses_lag_60min,4.137639e-05,4.137639e-05
TP2_lag_5min,1.616659e-05,1.616659e-05
Reservoirs_lag_5min,0.0,0.0
H1_lag_5min,0.0,0.0
Oil_temperature_lag_5min,0.0,0.0
Motor_current_lag_15min,0.0,0.0
Motor_current_lag_5min,0.0,0.0
Caudal_impulses,0.0,0.0
TP2_lag_15min,0.0,0.0
TP3_lag_5min,0.0,0.0
TP3_lag_15min,0.0,0.0
H1_lag_15min,0.0,0.0
DV_pressure_lag_15min,0.0,0.0
Reservoirs_lag_15min,0.0,0.0
Oil_temperature_lag_15min,0.0,0.0
TP3_lag_60min,0.0,0.0
Caudal_impulses_lag_15min,0.0,0.0
TP2_lag_60min,0.0,0.0
Caudal_impulses_roll_min_60min,0.0,0.0
H1_lag_60min,0.0,0.0
DV_pressure_lag_60min,0.0,0.0
Reservoirs_lag_60min,0.0,0.0
Oil_level,0.0,0.0
Motor_current_lag_60min,0.0,0.0
TP2_rate_change_5min,0.0,0.0
H1_rate_change_5min,0.0,0.0
DV_pressure_rate_change_5min,0.0,0.0
Reservoirs_rate_change_5min,0.0,0.0
Oil_temperature_rate_change_5min,0.0,0.0
Motor_current_rate_change_5min,0.0,0.0
Caudal_impulses_roll_max_60min,0.0,0.0
TP3_Reservoirs_diff,0.0,0.0
TP2_TP3_diff,0.0,0.0
Pressure_switch,0.0,0.0
DV_pressure_roll_max_15min,0.0,0.0
H1_roll_min_60min,0.0,0.0
H1_roll_std_60min,0.0,0.0
H1_roll_max_15min,0.0,0.0
Reservoirs_roll_mean_15min,0.0,0.0
Reservoirs_roll_std_15min,0.0,0.0
Reservoirs_roll_min_15min,0.0,0.0
H1_roll_std_15min,0.0,0.0
DV_eletric,0.0,0.0
Reservoirs_roll_std_60min,0.0,0.0
TP2,0.0,0.0
Oil_temperature_roll_mean_15min,0.0,0.0
Oil_temperature_roll_std_15min,0.0,0.0
Oil_temperature_roll_max_15min,0.0,0.0
TP3_roll_min_15min,0.0,0.0
Motor_current,0.0,0.0
Reservoirs,0.0,0.0
TP3_roll_std_15min,0.0,0.0
Motor_current_roll_mean_15min,0.0,0.0
Motor_current_roll_std_15min,0.0,0.0
TP3_roll_mean_15min,0.0,0.0
Motor_current_roll_max_15min,0.0,0.0
DV_pressure,0.0,0.0
H1,0.0,0.0
Towers,0.0,0.0
TP3,0.0,0.0
TP2_roll_std_60min,0.0,0.0
MPG,0.0,0.0
Caudal_impulses_roll_min_15min,0.0,0.0
Caudal_impulses_roll_max_15min,0.0,0.0
LPS,0.0,0.0
