feature_name,feature_type
Unnamed: 0,other_original_or_digital
timestamp,timestamp
TP2,raw_sensor
TP3,raw_sensor
H1,raw_sensor
DV_pressure,raw_sensor
Reservoirs,raw_sensor
Oil_temperature,raw_sensor
Motor_current,raw_sensor
COMP,other_original_or_digital
DV_eletric,other_original_or_digital
Towers,other_original_or_digital
MPG,other_original_or_digital
LPS,other_original_or_digital
Pressure_switch,other_original_or_digital
Oil_level,other_original_or_digital
Caudal_impulses,raw_sensor
TP2_TP3_diff,pressure_difference
Reservoirs_DV_pressure_diff,pressure_difference
TP3_Reservoirs_diff,pressure_difference
TP2_roll_mean_15min,rolling_window
TP2_roll_std_15min,rolling_window
TP2_roll_min_15min,rolling_window
TP2_roll_max_15min,rolling_window
TP2_roll_mean_60min,rolling_window
TP2_roll_std_60min,rolling_window
TP2_roll_min_60min,rolling_window
TP2_roll_max_60min,rolling_window
TP3_roll_mean_15min,rolling_window
TP3_roll_std_15min,rolling_window
TP3_roll_min_15min,rolling_window
TP3_roll_max_15min,rolling_window
TP3_roll_mean_60min,rolling_window
TP3_roll_std_60min,rolling_window
TP3_roll_min_60min,rolling_window
TP3_roll_max_60min,rolling_window
H1_roll_mean_15min,rolling_window
H1_roll_std_15min,rolling_window
H1_roll_min_15min,rolling_window
H1_roll_max_15min,rolling_window
H1_roll_mean_60min,rolling_window
H1_roll_std_60min,rolling_window
H1_roll_min_60min,rolling_window
H1_roll_max_60min,rolling_window
DV_pressure_roll_mean_15min,rolling_window
DV_pressure_roll_std_15min,rolling_window
DV_pressure_roll_min_15min,rolling_window
DV_pressure_roll_max_15min,rolling_window
DV_pressure_roll_mean_60min,rolling_window
DV_pressure_roll_std_60min,rolling_window
DV_pressure_roll_min_60min,rolling_window
DV_pressure_roll_max_60min,rolling_window
Reservoirs_roll_mean_15min,rolling_window
Reservoirs_roll_std_15min,rolling_window
Reservoirs_roll_min_15min,rolling_window
Reservoirs_roll_max_15min,rolling_window
Reservoirs_roll_mean_60min,rolling_window
Reservoirs_roll_std_60min,rolling_window
Reservoirs_roll_min_60min,rolling_window
Reservoirs_roll_max_60min,rolling_window
Oil_temperature_roll_mean_15min,rolling_window
Oil_temperature_roll_std_15min,rolling_window
Oil_temperature_roll_min_15min,rolling_window
Oil_temperature_roll_max_15min,rolling_window
Oil_temperature_roll_mean_60min,rolling_window
Oil_temperature_roll_std_60min,rolling_window
Oil_temperature_roll_min_60min,rolling_window
Oil_temperature_roll_max_60min,rolling_window
Motor_current_roll_mean_15min,rolling_window
Motor_current_roll_std_15min,rolling_window
Motor_current_roll_min_15min,rolling_window
Motor_current_roll_max_15min,rolling_window
Motor_current_roll_mean_60min,rolling_window
Motor_current_roll_std_60min,rolling_window
Motor_current_roll_min_60min,rolling_window
Motor_current_roll_max_60min,rolling_window
Caudal_impulses_roll_mean_15min,rolling_window
Caudal_impulses_roll_std_15min,rolling_window
Caudal_impulses_roll_min_15min,rolling_window
Caudal_impulses_roll_max_15min,rolling_window
Caudal_impulses_roll_mean_60min,rolling_window
Caudal_impulses_roll_std_60min,rolling_window
Caudal_impulses_roll_min_60min,rolling_window
Caudal_impulses_roll_max_60min,rolling_window
TP2_lag_5min,lag
TP3_lag_5min,lag
H1_lag_5min,lag
DV_pressure_lag_5min,lag
Reservoirs_lag_5min,lag
Oil_temperature_lag_5min,lag
Motor_current_lag_5min,lag
Caudal_impulses_lag_5min,lag
TP2_lag_15min,lag
TP3_lag_15min,lag
H1_lag_15min,lag
DV_pressure_lag_15min,lag
Reservoirs_lag_15min,lag
Oil_temperature_lag_15min,lag
Motor_current_lag_15min,lag
Caudal_impulses_lag_15min,lag
TP2_lag_60min,lag
TP3_lag_60min,lag
H1_lag_60min,lag
DV_pressure_lag_60min,lag
Reservoirs_lag_60min,lag
Oil_temperature_lag_60min,lag
Motor_current_lag_60min,lag
Caudal_impulses_lag_60min,lag
TP2_rate_change_5min,rate_of_change
TP3_rate_change_5min,rate_of_change
H1_rate_change_5min,rate_of_change
DV_pressure_rate_change_5min,rate_of_change
Reservoirs_rate_change_5min,rate_of_change
Oil_temperature_rate_change_5min,rate_of_change
Motor_current_rate_change_5min,rate_of_change
Caudal_impulses_rate_change_5min,rate_of_change
