column,missing_count,missing_percentage
Motor_current_lag_60min,364,0.023995548957512058
Caudal_impulses_lag_60min,364,0.023995548957512058
TP3_lag_60min,364,0.023995548957512058
H1_lag_60min,364,0.023995548957512058
DV_pressure_lag_60min,364,0.023995548957512058
Reservoirs_lag_60min,364,0.023995548957512058
Oil_temperature_lag_60min,364,0.023995548957512058
TP2_lag_60min,364,0.023995548957512058
TP3_roll_std_15min,212,0.013975429612616913
TP2_roll_std_15min,212,0.013975429612616913
DV_pressure_roll_std_15min,212,0.013975429612616913
Reservoirs_roll_std_15min,212,0.013975429612616913
Motor_current_roll_std_15min,212,0.013975429612616913
H1_roll_std_15min,212,0.013975429612616913
Oil_temperature_roll_std_15min,212,0.013975429612616913
Caudal_impulses_roll_std_15min,212,0.013975429612616913
H1_roll_std_60min,161,0.01061341588505341
Oil_temperature_roll_std_60min,161,0.01061341588505341
Caudal_impulses_roll_std_60min,161,0.01061341588505341
TP2_roll_std_60min,161,0.01061341588505341
TP3_roll_std_60min,161,0.01061341588505341
DV_pressure_roll_std_60min,161,0.01061341588505341
Motor_current_roll_std_60min,161,0.01061341588505341
Reservoirs_roll_std_60min,161,0.01061341588505341
Reservoirs_lag_15min,91,0.005998887239378014
DV_pressure_lag_15min,91,0.005998887239378014
H1_lag_15min,91,0.005998887239378014
TP3_lag_15min,91,0.005998887239378014
Oil_temperature_lag_15min,91,0.005998887239378014
TP2_lag_15min,91,0.005998887239378014
Motor_current_lag_15min,91,0.005998887239378014
Caudal_impulses_lag_15min,91,0.005998887239378014
TP3_lag_5min,31,0.002043576971656247
TP2_lag_5min,31,0.002043576971656247
Caudal_impulses_rate_change_5min,31,0.002043576971656247
H1_lag_5min,31,0.002043576971656247
Caudal_impulses_lag_5min,31,0.002043576971656247
Motor_current_rate_change_5min,31,0.002043576971656247
Oil_temperature_rate_change_5min,31,0.002043576971656247
Reservoirs_rate_change_5min,31,0.002043576971656247
DV_pressure_rate_change_5min,31,0.002043576971656247
H1_rate_change_5min,31,0.002043576971656247
DV_pressure_lag_5min,31,0.002043576971656247
TP2_rate_change_5min,31,0.002043576971656247
TP3_rate_change_5min,31,0.002043576971656247
Reservoirs_lag_5min,31,0.002043576971656247
Motor_current_lag_5min,31,0.002043576971656247
Oil_temperature_lag_5min,31,0.002043576971656247
Motor_current_roll_min_15min,0,0.0
Oil_temperature_roll_mean_60min,0,0.0
Oil_temperature_roll_min_60min,0,0.0
Oil_temperature_roll_max_60min,0,0.0
Motor_current_roll_mean_15min,0,0.0
Caudal_impulses_roll_max_60min,0,0.0
Caudal_impulses_roll_min_60min,0,0.0
Caudal_impulses_roll_min_15min,0,0.0
Caudal_impulses_roll_max_15min,0,0.0
Motor_current_roll_mean_60min,0,0.0
Motor_current_roll_min_60min,0,0.0
Caudal_impulses_roll_mean_60min,0,0.0
Motor_current_roll_max_60min,0,0.0
Caudal_impulses_roll_mean_15min,0,0.0
Motor_current_roll_max_15min,0,0.0
Unnamed: 0,0,0.0
Oil_temperature_roll_max_15min,0,0.0
Oil_temperature_roll_min_15min,0,0.0
TP2_roll_min_60min,0,0.0
TP2_roll_mean_60min,0,0.0
TP2_roll_max_15min,0,0.0
TP2_roll_min_15min,0,0.0
TP2_roll_mean_15min,0,0.0
TP3_Reservoirs_diff,0,0.0
Reservoirs_DV_pressure_diff,0,0.0
TP2_TP3_diff,0,0.0
Caudal_impulses,0,0.0
Oil_level,0,0.0
Pressure_switch,0,0.0
LPS,0,0.0
MPG,0,0.0
Towers,0,0.0
DV_eletric,0,0.0
COMP,0,0.0
Motor_current,0,0.0
Oil_temperature,0,0.0
Reservoirs,0,0.0
DV_pressure,0,0.0
H1,0,0.0
TP3,0,0.0
TP2,0,0.0
TP2_roll_max_60min,0,0.0
TP3_roll_mean_15min,0,0.0
TP3_roll_min_15min,0,0.0
DV_pressure_roll_max_15min,0,0.0
Oil_temperature_roll_mean_15min,0,0.0
Reservoirs_roll_max_60min,0,0.0
timestamp,0,0.0
Reservoirs_roll_mean_60min,0,0.0
Reservoirs_roll_max_15min,0,0.0
Reservoirs_roll_min_15min,0,0.0
Reservoirs_roll_mean_15min,0,0.0
DV_pressure_roll_max_60min,0,0.0
DV_pressure_roll_min_60min,0,0.0
DV_pressure_roll_mean_60min,0,0.0
DV_pressure_roll_min_15min,0,0.0
TP3_roll_max_15min,0,0.0
DV_pressure_roll_mean_15min,0,0.0
H1_roll_max_60min,0,0.0
H1_roll_min_60min,0,0.0
H1_roll_mean_60min,0,0.0
H1_roll_max_15min,0,0.0
H1_roll_min_15min,0,0.0
H1_roll_mean_15min,0,0.0
TP3_roll_max_60min,0,0.0
TP3_roll_min_60min,0,0.0
TP3_roll_mean_60min,0,0.0
Reservoirs_roll_min_60min,0,0.0
