feature,mean_absolute_shap
Motor_current_roll_std_60min,14.723506894621533
H1_roll_mean_60min,7.436421384225098
Motor_current_roll_min_60min,7.3283991898857765
H1_roll_std_60min,7.034871595187411
TP2_roll_std_60min,6.163983313552037
TP2_roll_mean_60min,5.900399939125233
Motor_current_roll_mean_60min,5.5635950857190615
Motor_current_roll_min_15min,3.195289965598665
Reservoirs_roll_std_60min,2.944268497685199
LPS,2.794423695852562
Oil_temperature_roll_mean_15min,2.568553065193239
Motor_current_roll_max_60min,2.4171307197526626
H1_roll_mean_15min,2.354129277110693
Oil_temperature_roll_mean_60min,2.131109676871533
DV_pressure_roll_std_60min,2.0723839875132275
TP3_roll_std_60min,2.036907395364929
Oil_temperature_roll_std_60min,1.9235778984842546
H1_roll_std_15min,1.9012798569844198
TP3_roll_min_60min,1.7228079152351798
Unnamed__0,1.650280408200603
Oil_temperature_roll_min_15min,1.5103671896467392
Oil_temperature_roll_max_15min,1.41659617997203
H1_roll_min_60min,1.3879317186086473
DV_pressure_roll_max_60min,1.333452374098827
Reservoirs_roll_max_60min,1.3155580494143282
TP2_roll_max_60min,1.300513655957169
Reservoirs_roll_mean_60min,1.188702783473278
Reservoirs_roll_min_15min,1.178640240669143
TP2_roll_mean_15min,1.1625146610788981
Oil_temperature,1.102330893673191
TP3_roll_min_15min,0.9880270922451085
TP3_roll_max_60min,0.9146452479442935
TP2_roll_max_15min,0.885989025316861
Oil_temperature_rate_change_5min,0.8499351738775218
TP3_lag_15min,0.8001771456068412
Caudal_impulses_roll_min_60min,0.7600636227408831
Oil_temperature_roll_max_60min,0.7488158844038227
Oil_level,0.716416371399157
Oil_temperature_lag_5min,0.714079713467354
TP3_roll_mean_60min,0.6842410218574829
Motor_current_roll_std_15min,0.6802140407216823
Reservoirs_lag_15min,0.6763036364075908
Reservoirs_roll_min_60min,0.6638717432277084
Reservoirs_roll_max_15min,0.5838171411509776
Caudal_impulses_roll_mean_60min,0.5726931219665169
H1_roll_max_60min,0.5492786816817304
TP3_lag_60min,0.5337386526242939
Caudal_impulses_roll_min_15min,0.47085149524152137
Caudal_impulses_roll_mean_15min,0.47000147662835523
TP3_rate_change_5min,0.4569891984857857
TP3_lag_5min,0.4569388550349703
H1_roll_max_15min,0.4560677488955912
Motor_current_roll_mean_15min,0.40860576429523915
TP3_roll_mean_15min,0.39043244844929975
Oil_temperature_lag_15min,0.38228628350896593
Oil_temperature_lag_60min,0.35563585308838624
Reservoirs_lag_5min,0.3462981810920308
DV_pressure_roll_std_15min,0.33953690249473995
H1_roll_min_15min,0.33606219236767404
TP2_lag_15min,0.3254757664527871
Reservoirs_rate_change_5min,0.29306546956725976
H1,0.28782616350754964
TP2_lag_60min,0.28708591545525464
Reservoirs_roll_std_15min,0.2821393900967821
TP2_roll_std_15min,0.22962634093562756
DV_pressure_roll_max_15min,0.22666583962513775
Oil_temperature_roll_min_60min,0.22222156136995244
TP3_Reservoirs_diff,0.19890882767544188
TP3_roll_max_15min,0.19800086843020387
Motor_current_roll_max_15min,0.18388021297187884
COMP,0.16966484177015054
H1_lag_60min,0.1673813918212826
DV_pressure_roll_mean_15min,0.16442442986415137
DV_pressure_roll_min_60min,0.16437077921755835
TP2_lag_5min,0.14692456603515944
Oil_temperature_roll_std_15min,0.14475561718548957
H1_rate_change_5min,0.13713430379267538
Caudal_impulses,0.13147634176950376
TP2_roll_min_15min,0.1267216365112309
Reservoirs_roll_mean_15min,0.11943357782231125
TP2,0.10812569406009997
H1_lag_5min,0.10678893718322058
Caudal_impulses_lag_5min,0.1041862747891913
TP2_TP3_diff,0.10285624072305839
Caudal_impulses_roll_max_15min,0.10091148614881598
Caudal_impulses_roll_max_60min,0.09692826726577618
TP2_roll_min_60min,0.08745474214765073
Caudal_impulses_roll_std_60min,0.07949047913160502
TP3_roll_std_15min,0.07894775677883178
H1_lag_15min,0.07684525174758873
Motor_current_lag_60min,0.07211427076677128
DV_eletric,0.06520451769805176
Motor_current_rate_change_5min,0.06496323972937304
Motor_current_lag_5min,0.0633365726890121
Reservoirs,0.0320066128768226
TP3,0.031004759829754782
TP2_rate_change_5min,0.030792538537555862
Reservoirs_DV_pressure_diff,0.02890594669335417
Motor_current,0.020616935915501764
DV_pressure_roll_mean_60min,0.019909696903849982
Reservoirs_lag_60min,0.01916819602834229
Pressure_switch,0.017491423532855713
Motor_current_lag_15min,0.01590755562535602
Caudal_impulses_lag_60min,0.015123221269368617
Caudal_impulses_lag_15min,0.014053393583739486
DV_pressure_roll_min_15min,0.009747184768191518
Towers,0.007285142957664743
Caudal_impulses_roll_std_15min,0.002949476928577598
DV_pressure_rate_change_5min,0.0023435936230512995
Caudal_impulses_rate_change_5min,0.001956528670377123
DV_pressure_lag_15min,0.0010430302163049116
DV_pressure,0.0006020254539668019
MPG,0.0005696664356802053
DV_pressure_lag_60min,0.00028834922842497384
DV_pressure_lag_5min,5.138168479795718e-05
