feature,importance,absolute_importance
Unnamed__0,0.19739502721432597,0.19739502721432597
Oil_temperature_roll_max_60min,0.07404234560195612,0.07404234560195612
Oil_temperature_roll_mean_60min,0.039113910609685,0.039113910609685
DV_pressure_roll_min_15min,0.03849045783665519,0.03849045783665519
DV_pressure_roll_min_60min,0.035321253764620614,0.035321253764620614
TP2_roll_mean_60min,0.03289594884532574,0.03289594884532574
Oil_temperature_roll_min_60min,0.031733559440483346,0.031733559440483346
TP2_roll_max_60min,0.03139526822423293,0.03139526822423293
Motor_current_roll_mean_60min,0.030605887137613863,0.030605887137613863
Oil_temperature_roll_min_15min,0.029216889239474728,0.029216889239474728
Oil_temperature_roll_mean_15min,0.02749202612253446,0.02749202612253446
TP2_roll_mean_15min,0.02732039600717017,0.02732039600717017
Oil_temperature_roll_max_15min,0.024689838114241087,0.024689838114241087
H1_roll_std_60min,0.023388683217065356,0.023388683217065356
TP2_roll_std_60min,0.020003303213160642,0.020003303213160642
TP2_roll_max_15min,0.01923808815831879,0.01923808815831879
H1_roll_max_60min,0.01907399522857993,0.01907399522857993
TP3_roll_max_60min,0.018576128405023658,0.018576128405023658
Motor_current_roll_std_60min,0.01844285583610352,0.01844285583610352
Oil_temperature_roll_std_60min,0.01803250666066211,0.01803250666066211
Reservoirs_roll_min_60min,0.01757749671752789,0.01757749671752789
TP3_roll_min_60min,0.01756677866531008,0.01756677866531008
H1_roll_mean_60min,0.016184440464037077,0.016184440464037077
H1_roll_min_60min,0.013709297747810382,0.013709297747810382
DV_pressure_lag_60min,0.013126878206886655,0.013126878206886655
Motor_current_roll_max_60min,0.01300457000667307,0.01300457000667307
Caudal_impulses_roll_std_15min,0.011451647822727137,0.011451647822727137
Caudal_impulses_roll_std_60min,0.011110124798324053,0.011110124798324053
Oil_temperature_lag_60min,0.01093721418252615,0.01093721418252615
DV_pressure_lag_5min,0.01015658288106243,0.01015658288106243
Reservoirs_roll_max_60min,0.009090778849447959,0.009090778849447959
Oil_temperature_lag_15min,0.0073708088428522086,0.0073708088428522086
DV_pressure,0.0063085131151640024,0.0063085131151640024
Reservoirs_roll_std_15min,0.00622134012206638,0.00622134012206638
Reservoirs_roll_std_60min,0.006135785933518832,0.006135785933518832
TP2_roll_std_15min,0.005444610663030748,0.005444610663030748
DV_pressure_roll_mean_60min,0.005000655872574612,0.005000655872574612
H1_roll_std_15min,0.004794200964920583,0.004794200964920583
TP2_roll_min_60min,0.004325767072076354,0.004325767072076354
Oil_temperature_roll_std_15min,0.004067427562447813,0.004067427562447813
TP3_roll_max_15min,0.00391629000137093,0.00391629000137093
TP3_roll_std_15min,0.0035890060792177535,0.0035890060792177535
TP2_roll_min_15min,0.0031251273808262175,0.0031251273808262175
Motor_current_roll_min_60min,0.0031134330693394973,0.0031134330693394973
TP3_roll_mean_15min,0.002849364456968005,0.002849364456968005
DV_pressure_roll_mean_15min,0.0027989509353444474,0.0027989509353444474
Motor_current_roll_min_15min,0.0025474700753277185,0.0025474700753277185
DV_pressure_roll_max_60min,0.0023741971860993614,0.0023741971860993614
Oil_temperature,0.0021386658550310703,0.0021386658550310703
Caudal_impulses_roll_min_15min,0.0019830751647239037,0.0019830751647239037
Oil_temperature_lag_5min,0.0015794307097887026,0.0015794307097887026
H1_roll_max_15min,0.0015513769263163233,0.0015513769263163233
H1_rate_change_5min,0.0015454429658016608,0.0015454429658016608
Caudal_impulses_roll_min_60min,0.0014965678488156674,0.0014965678488156674
TP2_lag_5min,0.0014498207239759218,0.0014498207239759218
H1_roll_min_15min,0.0013244982749851123,0.0013244982749851123
Reservoirs_roll_max_15min,0.0011942039536719008,0.0011942039536719008
DV_pressure_roll_max_15min,0.0010710059136481047,0.0010710059136481047
TP3_roll_min_15min,0.0009463803684857809,0.0009463803684857809
Reservoirs_rate_change_5min,0.0008645392511227709,0.0008645392511227709
TP3_roll_std_60min,0.0007701985631274638,0.0007701985631274638
Motor_current_roll_max_15min,0.0007313730857298049,0.0007313730857298049
DV_pressure_roll_std_60min,0.0007181503726459497,0.0007181503726459497
Motor_current_roll_mean_15min,0.0005993872339366016,0.0005993872339366016
TP2_lag_15min,0.0005852925903559495,0.0005852925903559495
TP3_rate_change_5min,0.000503427351090458,0.000503427351090458
Reservoirs_roll_min_15min,0.00044027447029571984,0.00044027447029571984
Reservoirs_DV_pressure_diff,0.0003898353905326336,0.0003898353905326336
DV_pressure_roll_std_15min,0.00032859063478627614,0.00032859063478627614
Reservoirs_lag_60min,0.00031535523838358356,0.00031535523838358356
Reservoirs_lag_5min,0.00029186987499470695,0.00029186987499470695
Reservoirs_roll_mean_15min,0.0002886902339893583,0.0002886902339893583
TP2_TP3_diff,0.00028555619800510864,0.00028555619800510864
Reservoirs_roll_mean_60min,0.00026732605850244884,0.00026732605850244884
TP3_lag_5min,0.0002252023071394831,0.0002252023071394831
H1,0.00021958763816245803,0.00021958763816245803
DV_pressure_lag_15min,0.000176752990945716,0.000176752990945716
Oil_temperature_rate_change_5min,0.00014748481076045319,0.00014748481076045319
TP3_lag_15min,0.00014460816847380268,0.00014460816847380268
H1_lag_5min,0.00013543055349748965,0.00013543055349748965
Reservoirs,9.396149186737215e-05,9.396149186737215e-05
Motor_current,9.360231906003432e-05,9.360231906003432e-05
TP3_lag_60min,7.925178690887548e-05,7.925178690887548e-05
TP3_roll_mean_60min,7.913678508098957e-05,7.913678508098957e-05
Motor_current_lag_5min,7.454063198136285e-05,7.454063198136285e-05
Motor_current_rate_change_5min,6.454690552995368e-05,6.454690552995368e-05
H1_roll_mean_15min,6.0588824623060405e-05,6.0588824623060405e-05
DV_pressure_rate_change_5min,4.009926596101376e-05,4.009926596101376e-05
Caudal_impulses_roll_mean_60min,3.5746885795758506e-05,3.5746885795758506e-05
H1_lag_60min,3.335929591687091e-05,3.335929591687091e-05
